Chromosome,Start,Stop,Gene
chr1,53049,54936,AL627309.2
chr1,134901,139379,AL627309.1
chr1,738532,739137,AL669831.1
chr1,818043,819983,AL645608.2
chr1,861264,866445,AL645608.1
chr1,901877,910476,PLEKHN1
chr1,910579,917497,C1orf170
chr1,1007126,1009687,RNF223
chr1,1017198,1051736,C1orf159
chr1,1156079,1167370,SDF4
chr1,1189294,1209234,UBE2J2
chr1,1217576,1227409,SCNN1D
chr1,1227764,1243269,ACAP3
chr1,1246986,1259989,CPSF3L
chr1,1288072,1293920,MXRA8
chr1,1321862,1333684,CCNL2
chr1,1353804,1356650,ANKRD65
chr1,1370903,1378262,VWA1
chr1,1407143,1418486,ATAD3B
chr1,1447910,1470067,ATAD3A
chr1,1470587,1475833,TMEM240
chr1,1510355,1511373,AL645728.1
chr1,1550795,1565990,MIB2
chr1,1571100,1588935,CDK11B
chr1,1637078,1655766,CDK11A
chr1,1656853,1677431,SLC35E2
chr1,1683910,1690081,NADK
chr1,1919563,1935153,C1orf222
chr1,2115917,2126180,C1orf86
chr1,2121237,2123179,AL590822.2
chr1,2143360,2145620,AL590822.1
chr1,2309494,2323110,MORN1
chr1,2258581,2259042,AL589739.1
chr1,2323279,2335188,RER1
chr1,2407754,2436964,PLCH2
chr1,2518235,2521386,FAM213B
chr1,2522081,2564481,MMEL1
chr1,2572807,2706236,TTC34
chr1,2985742,3355183,PRDM16
chr1,3388188,3397379,ARHGEF16
chr1,3569129,3650467,TP73
chr1,3773845,3789608,DFFB
chr1,6086380,6160078,KCNAB2
chr1,6100630,6101399,AL035406.1
chr1,6161853,6240183,CHD5
chr1,6266189,6281351,RNF207
chr1,6294505,6296000,ICMT
chr1,6324333,6453438,ACOT7
chr1,6508845,6521004,ESPN
chr1,6527183,6545529,PLEKHG5
chr1,6615338,6639782,TAS1R1
chr1,6694228,6741097,DNAJC11
chr1,6845591,7826582,CAMTA1
chr1,8378169,8404227,SLC45A1
chr1,9005922,9011762,CA6
chr1,9097173,9109319,SLC2A5
chr1,9164390,9189183,GPR157
chr1,9648932,9674935,TMEM201
chr1,9711790,9789172,PIK3CD
chr1,9789086,9884584,CLSTN1
chr1,9909597,9932150,CTNNBIP1
chr1,9989778,10002826,LZIC
chr1,10093016,10241289,UBE4B
chr1,10459126,10479845,PGD
chr1,10490159,10512210,APITD1
chr1,10509971,10511955,CORT
chr1,10535008,10690372,PEX14
chr1,11006530,11042094,C1orf127
chr1,11072741,11082915,TARDBP
chr1,11126678,11159894,EXOSC10
chr1,11539295,11597639,PTCHD2
chr1,11714914,11723384,FBXO44
chr1,11821844,11849641,C1orf167
chr1,11845810,11863571,MTHFR
chr1,11866207,11903201,CLCN6
chr1,11994792,12035150,PLOD1
chr1,12040238,12073571,MFN2
chr1,12079590,12092095,MIIP
chr1,12123527,12203174,TNFRSF8
chr1,12227060,12252415,TNFRSF1B
chr1,12469924,12570415,VPS13D
chr1,12884468,12891264,PRAMEF11
chr1,12976450,12980569,PRAMEF7
chr1,12998181,13007420,PRAMEF6
chr1,13328196,13331692,PRAMEF3
chr1,13516066,13526943,PRAMEF21
chr1,13668269,13673511,PRAMEF14
chr1,13694889,13698405,PRAMEF19
chr1,13736907,13747803,PRAMEF20
chr1,14031350,14114554,PRDM2
chr1,14925213,15394651,KAZN
chr1,15490840,15497774,C1orf195
chr1,15573768,15724622,FHAD1
chr1,15764938,15775737,CTRC
chr1,16085255,16113084,FBLIM1
chr1,16268366,16302627,ZBTB17
chr1,16343831,16344538,HSPB7
chr1,16348486,16360542,CLCNKA
chr1,16555368,16556038,C1orf134
chr1,16693738,16722607,SZRD1
chr1,16725162,16763685,SPATA21
chr1,16865561,16866070,AL355149.2
chr1,16892935,16905862,NBPF1
chr1,16999498,17000007,AL137798.1
chr1,17060447,17060956,AL021920.2
chr1,17301003,17307173,MFAP2
chr1,17394938,17445948,PADI2
chr1,17559776,17570840,PADI1
chr1,17655507,17676070,AC004824.2
chr1,17866330,18024369,ARHGEF10L
chr1,19197926,19229022,ALDH4A1
chr1,19401000,19536746,UBR4
chr1,19665267,19812066,CAPZB
chr1,19970808,19984945,NBL1
chr1,20008754,20126410,TMCO4
chr1,20301925,20306932,PLA2G2A
chr1,20490484,20501687,PLA2G2C
chr1,20617412,20681387,VWA5B1
chr1,20978547,20987898,DDOST
chr1,21132976,21503340,EIF4G3
chr1,21766621,21809960,NBPF3
chr1,21835858,21904902,ALPL
chr1,21922708,21978348,RAP1GAP
chr1,22004791,22109688,USP48
chr1,22138856,22150456,LDLRAD2
chr1,22172716,22181889,HSPG2
chr1,22379120,22419416,CDC42
chr1,22446521,22470385,WNT4
chr1,22778344,22857650,ZBTB40
chr1,22890070,22916103,EPHA8
chr1,22979682,22988029,C1QB
chr1,23037332,23217758,EPHB2
chr1,23345988,23410182,KDM1A
chr1,23410516,23495351,LUZP1
chr1,23516993,23520755,HTR1D
chr1,23636708,23670774,HNRNPR
chr1,23695729,23698275,C1orf213
chr1,24117646,24122027,LYPLA2
chr1,24128377,24165110,HMGCL
chr1,24197017,24285549,CNR2
chr1,24382531,24438665,MYOM3
chr1,24645881,24681807,GRHL3
chr1,24683490,24727949,STPG1
chr1,24746038,24780587,NIPAL3
chr1,24829387,24863504,RCAN3
chr1,24969775,24999158,SRRM1
chr1,25226002,25291501,RUNX3
chr1,25568747,25573945,C1orf63
chr1,25688741,25747363,RHCE
chr1,25757388,25826700,TMEM57
chr1,26126667,26144713,SEPN1
chr1,26145212,26147288,AL020996.1
chr1,26158414,26185903,AUNIP
chr1,26560691,26604178,CEP85
chr1,26608775,26644756,UBXN11
chr1,26648350,26670443,AIM1L
chr1,26737308,26756210,LIN28A
chr1,26857819,26900922,RPS6KA1
chr1,27099455,27107650,ARID1A
chr1,27114679,27124649,PIGV
chr1,27426578,27480973,SLC9A1
chr1,27561007,27635110,WDTC1
chr1,27671364,27680421,SYTL1
chr1,27734691,27816562,WASF2
chr1,27860814,27930143,AHDC1
chr1,27938803,27961727,FGR
chr1,28177085,28177255,AL109927.1
chr1,28199055,28213196,THEMIS2
chr1,28296858,28415115,EYA3
chr1,28473677,28520447,PTAFR
chr1,28527013,28527152,AL353354.1
chr1,28527070,28527419,AL353354.2
chr1,28655566,28662475,MED18
chr1,28832455,28865708,RCC1
chr1,29063133,29096286,YTHDF2
chr1,29213603,29446532,EPB41
chr1,29474657,29508410,SRSF4
chr1,29563047,29653313,PTPRU
chr1,31405710,31538540,PUM1
chr1,31652593,31661000,NKAIN1
chr1,31732796,31769662,SNRNP40
chr1,31769879,31837105,ZCCHC17
chr1,31883048,31907437,SERINC2
chr1,31902192,31902614,AC114494.1
chr1,32042116,32053288,TINAGL1
chr1,32083301,32092919,HCRTR1
chr1,32099887,32110474,PEF1
chr1,32117848,32169768,COL16A1
chr1,32192719,32229648,BAI2
chr1,32256025,32281580,SPOCD1
chr1,32372022,32403988,PTP4A2
chr1,32379174,32380745,AL136115.1
chr1,32538567,32566156,TMEM39B
chr1,32573889,32636980,KPNA6
chr1,32681697,32687972,TMEM234
chr1,32739931,32751317,LCK
chr1,32757993,32798986,HDAC1
chr1,32830707,32860034,BSDC1
chr1,33065773,33116166,ZBTB8OS
chr1,33116818,33145805,RBBP4
chr1,33145507,33168361,SYNC
chr1,33283176,33300665,S100PBP
chr1,33439268,33439642,FKSG48
chr1,33546714,33567493,ADC
chr1,33736176,33766320,ZNF362
chr1,33789224,33841194,PHC2
chr1,33979613,34630875,CSMD2
chr1,35331037,35370984,DLGAP3
chr1,35449523,35497569,ZMYM6
chr1,35734568,35887544,ZMYM4
chr1,35932209,36023000,KIAA0319L
chr1,36771994,36786948,SH3D21
chr1,36883740,36916086,OSCP1
chr1,36931645,36947120,CSF3R
chr1,37961475,37980347,MEAF6
chr1,38022607,38031234,DNALI1
chr1,38076951,38100491,RSPO1
chr1,38179561,38222363,EPHA10
chr1,38274082,38275126,C1orf122
chr1,38292232,38293886,AL929472.1
chr1,38326369,38412729,INPP5B
chr1,38423689,38455659,SF3A3
chr1,38478451,38489520,UTP11L
chr1,39330175,39347285,GJA9
chr1,39351979,39392509,RHBDL2
chr1,39549034,39952789,MACF1
chr1,40092154,40098672,HEYL
chr1,40229223,40254521,BMP8B
chr1,40307386,40349106,TRIT1
chr1,40365286,40367687,MYCL1
chr1,40420817,40435273,MFSD2A
chr1,40862507,40887932,SMAP2
chr1,40915779,40929352,ZFP69B
chr1,41445427,41477736,CTPS1
chr1,41481269,41487397,SLFNL1
chr1,41492872,41627153,SCMH1
chr1,42642216,42800903,FOXJ3
chr1,42896006,42921938,ZMYND12
chr1,42929025,43119852,CCDC30
chr1,43124588,43133568,PPIH
chr1,43198764,43205925,CLDN19
chr1,43212006,43232755,LEPRE1
chr1,43232977,43263875,C1orf50
chr1,43272841,43282954,CCDC23
chr1,43312307,43317598,ZNF691
chr1,43629846,43638241,EBNA1BP2
chr1,43766743,43775099,TIE1
chr1,43829073,43833682,ELOVL1
chr1,43855553,43872564,SZT2
chr1,43916824,43919660,HYI
chr1,44010701,44089343,PTPRF
chr1,44173218,44396830,ST3GAL3
chr1,44398992,44402911,ARTN
chr1,44435680,44438393,DPH2
chr1,44445659,44456151,B4GALT2
chr1,44466479,44497134,SLC6A9
chr1,44686766,44818599,ERI3
chr1,44877770,45117396,RNF220
chr1,45140394,45191263,C1orf228
chr1,45205534,45233436,KIF2C
chr1,45271588,45272957,TCTEX1D4
chr1,45274154,45279801,BTBD19
chr1,45285516,45308616,PTCH2
chr1,45794835,45806119,MUTYH
chr1,45805728,45809431,TOE1
chr1,45809555,45956840,TESK2
chr1,46049717,46083923,NASP
chr1,46085717,46089729,CCDC17
chr1,46092978,46152302,GPBP1L1
chr1,46269285,46501738,MAST2
chr1,46505814,46598708,PIK3R3
chr1,46654354,46685963,POMGNT1
chr1,46713367,46744145,RAD54L
chr1,46806479,46827666,NSUN4
chr1,46972668,46979884,DMBX1
chr1,47023091,47051643,MKNK1
chr1,47073387,47082563,MOB3C
chr1,47098413,47134099,ATPAF1
chr1,47124366,47184824,EFCAB14
chr1,47137445,47139249,TEX38
chr1,47394852,47407128,CYP4A11
chr1,47427036,47516422,CYP4X1
chr1,47681963,47695443,TAL1
chr1,47715811,47779819,STIL
chr1,48226979,48227290,FLJ00388
chr1,48569306,48569878,AL109659.1
chr1,48688411,48703379,SLC5A9
chr1,48764320,48937825,SPATA6
chr1,48999845,49146574,AGBL4
chr1,50459990,50461874,AL645730.2
chr1,50513686,50667540,ELAVL4
chr1,50906709,51425833,FAF1
chr1,51434367,51440305,CDKN2C
chr1,51753484,51796232,TTC39A
chr1,51821981,51888990,EPS15
chr1,52082547,52254889,OSBPL9
chr1,52254884,52343691,NRD1
chr1,52608046,52812357,ZFYVE9
chr1,52820055,52831864,CC2D1B
chr1,53192126,53287401,ZYG11B
chr1,53362075,53392851,ECHDC2
chr1,53480610,53517289,SCP2
chr1,53527854,53551173,PODN
chr1,54231136,54304225,TMEM48
chr1,54320691,54356407,YIPF1
chr1,54474569,54483803,LDLRAD1
chr1,54569968,54571750,AL161915.1
chr1,54635333,54637997,AL357673.1
chr1,54638031,54662167,CYB5RL
chr1,54665892,54684049,MRPL37
chr1,55107466,55166085,MROH7
chr1,55317396,55341668,DHCR24
chr1,55505431,55518424,PCSK9
chr1,55532041,55680762,USP24
chr1,57394885,57431810,C8B
chr1,57463579,58716211,DAB1
chr1,58939545,59012452,OMA1
chr1,60282304,60338642,HOOK1
chr1,60456070,60474413,C1orf87
chr1,62146719,62191095,TM2D1
chr1,62417984,62583006,INADL
chr1,62920399,63153969,DOCK7
chr1,63073437,63075249,AL138847.1
chr1,63913257,63988851,ITGB3BP
chr1,64059480,64125912,PGM1
chr1,64590217,64644707,ROR1
chr1,64936428,65158741,CACHD1
chr1,65210778,65298912,RAVER2
chr1,65613232,65697828,AK4
chr1,65730424,65878970,DNAJC6
chr1,65886248,66091853,LEPR
chr1,66378998,66838361,PDE4B
chr1,66999823,67208882,SGIP1
chr1,67131547,67142710,AL139147.1
chr1,67278574,67390570,WDR78
chr1,67390578,67454302,MIER1
chr1,67473197,67518730,SLC35D1
chr1,67557859,67592944,C1orf141
chr1,67632169,67725648,IL23R
chr1,67773047,67862583,IL12RB2
chr1,68511647,68516460,DIRAS3
chr1,68564142,68698266,WLS
chr1,70225870,70587677,LRRC7
chr1,70671418,70697253,SRSF11
chr1,70820635,70833703,HHLA3
chr1,70876901,70905534,CTH
chr1,71318036,71513491,PTGER3
chr1,71873129,72748171,NEGR1
chr1,74491715,74663871,LRRIQ3
chr1,74663947,75010108,TNNI3K
chr1,74937776,74949033,LRRC53
chr1,75171174,75199092,CRYZ
chr1,75198836,75232358,TYW3
chr1,75671953,75862321,SLC44A5
chr1,76190440,76228691,ACADM
chr1,76251879,76260350,RABGGTB
chr1,77557690,77685115,PIGK
chr1,78161676,78211147,USP33
chr1,78245334,78340825,FAM73A
chr1,78354200,78408598,NEXN
chr1,78414368,78444745,FUBP1
chr1,79086130,79107863,IFI44L
chr1,79115517,79127139,IFI44
chr1,82266082,82458106,LPHN2
chr1,84630065,84704172,PRKACB
chr1,84810519,84816480,SAMD13
chr1,85093913,85097431,C1orf180
chr1,85115619,85156240,SSX2IP
chr1,85279087,85358896,LPAR3
chr1,85784169,85930827,DDAH1
chr1,86115106,86174116,ZNHIT6
chr1,86194916,86622121,COL24A1
chr1,86814421,86862003,ODF2L
chr1,86934526,86965972,CLCA1
chr1,87012926,87038841,CLCA4
chr1,87170300,87209071,SH3GLB1
chr1,87458765,87602334,HS2ST1
chr1,89149993,89299353,PKN2
chr1,89401542,89458287,CCBL2
chr1,89445142,89458643,RBMXL1
chr1,89724638,89738544,GBP5
chr1,89829619,89851446,GBP6
chr1,89990462,90058936,LRRC8B
chr1,90460727,90493375,ZNF326
chr1,91726324,91870426,HFM1
chr1,91966408,91990056,CDC7
chr1,92145902,92351787,TGFBR3
chr1,92414929,92479975,BRDT
chr1,92546095,92613310,BTBD8
chr1,92632542,92650279,KIAA1107
chr1,92711960,92764544,GLMN
chr1,92974260,93257961,EVI5
chr1,93544792,93604636,MTF2
