Chromosome,Start,Stop,Gene
chr1,69091,70008,OR4F5
chr1,367640,368634,OR4F29
chr1,621059,622053,OR4F16
chr1,860260,874671,SAMD11
chr1,879584,882440,NOC2L
chr1,895967,901095,KLHL17
chr1,901877,910488,PLEKHN1
chr1,910584,917473,C1orf170
chr1,934342,935552,HES4
chr1,948803,949920,ISG15
chr1,955503,991496,AGRN
chr1,1017198,1051461,C1orf159
chr1,1109264,1110414,TTLL10
chr1,1138888,1141951,TNFRSF18
chr1,1146706,1149512,TNFRSF4
chr1,1152288,1167381,SDF4
chr1,1167629,1170421,B3GALT6
chr1,1177826,1178843,FAM132A
chr1,1189289,1209233,UBE2J2
chr1,1215816,1227399,SCNN1D
chr1,1227756,1243398,ACAP3
chr1,1243947,1247057,PUSL1
chr1,1246965,1250813,CPSF3L
chr1,1260136,1263374,GLTPD1
chr1,1266694,1270686,TAS1R3
chr1,1270656,1284492,DVL1
chr1,1288069,1289644,MXRA8
chr1,1309110,1310537,AURKAIP1
chr1,1321091,1326476,CCNL2
chr1,1334902,1336467,RP4-758J18.2
chr1,1337288,1342693,MRPL20
chr1,1353800,1356824,ANKRD65
chr1,1361508,1363167,TMEM88B
chr1,1370241,1372839,VWA1
chr1,1385069,1405538,ATAD3C
chr1,1407149,1431582,ATAD3B
chr1,1447531,1470065,ATAD3A
chr1,1470554,1475737,TMEM240
chr1,1477053,1510249,SSU72
chr1,1533392,1535476,C1orf233
chr1,1550795,1565985,MIB2
chr1,1567474,1570030,MMP23B
chr1,1570603,1580623,CDK11B
chr1,1592939,1624083,SLC35E2B
chr1,1634169,1654270,CDK11A
chr1,1656277,1677358,SLC35E2
chr1,1682671,1709909,NADK
chr1,1716729,1822495,GNB1
chr1,1846266,1848733,CALML6
chr1,1849029,1850236,TMEM52
chr1,1853396,1859368,C1orf222
chr1,1950780,1962192,GABRD
chr1,1981909,2116834,PRKCZ
chr1,2115903,2139172,C1orf86
chr1,2160134,2241558,SKI
chr1,2252692,2323146,MORN1
chr1,2323267,2333764,RER1
